,Name,ID,RAM,Processor,Model,Brand,Screen Size,Connectivity,OS,Camera,Storage,Price
4322,Apple iPhone 6s Plus - 16GB - Space Gray (T-Mobile) A1687 (CDMA + GSM),204363136556,2GB,Dual Core,Apple iPhone 6s Plus,Apple,5.5in.,"Bluetooth, Wi-Fi, NFC",iOS,12.0 MP,16 GB,69.99
4323,T-Mobile REVVL 2 Plus -32GB Black Unlocked Smartphone (Faulty Microphone) #330,285440287110,3 GB,Octa Core,T-Mobile Revvl Plus,T-Mobile,6 in,"Bluetooth, 4G, 3G, 2G, GPS",Android,"2160 x 1080 pixels, 402 PPI",32 GB,33.99
4324,Apple iPhone X/XS 64GB Unlocked Verizon T-Mobile At&t Tracfone Free Return,115631272072,2 GB,,,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,64GB,134.00 to 239.00
4325,Nokia 5230 Nuron - White (T-Mobile) Smartphone with Bluetooth technology.,334904446489,,,Nokia 5230,T-Mobile,3.2 in,"3G, Bluetooth, GPS, Headphone Jack, Micro USB",,2.0 MP,70 MB,15.49
4326,7.0 Inch Unlocked I13 Pro Max Android 10 Smartphone 4G+64Gb 3G Phone Mobile New,384910061556,4 GB,Dual Core,13 pro,Unbranded,7.0,3G,Android 10.0,8MP+16MP,4G+64GB,73.10
4327,Apple iPhone XR 64GB Unlocked Verizon Cellcom Tracfone T-Mobile LTE Smartphone,276151693585,2 GB,,iPhone XR,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,"64GB, 128GB, 256GB",158.00 to 258.00
4330,Apple iPhone 11 64GB 128GB Unlocked Verizon At&t T-Mobile (CDMA + GSM) Mint,115455458870,2 GB,,Iphone 11,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,64GB,178.00 to 369.00
4332,"ZTE Prestige - N9132 - 8GB - Black, Boost Mobile",354485427416,,,ZTE Prestige,ZTE,,,,,8GB,19.99
4333,Collectors RARE Apple iPhone 4s - 16GB - Black (Virgin Mobile) A1387 w Box,144874883519,,,Apple iPhone 4s,Apple,3.5 in,"Bluetooth, Wi-Fi",,8.0 MP,16 GB,39.50
4334,Kyocera Coast S2151 Cellular Flip Phone (Boost Mobile) - Black #301,203932109243,,,Kyocera Coast,Kyocera,2.4 in,3G,,2.0 MP,64 MB,23.99
4335,4G LTE Unlocked Android 10 Cell Phone Smartphone Octa Core 3GB+32GB T-Mobile USA,186125311953,3 GB,Octa Core,XGODY Mate50,Xgody,6.6 in,"2G, 3G, 4G, Bluetooth, GPRS, GPS, Lightning, LTE, USB Type-C, WAP, Wi-Fi",Android,18.0 MP,"32 GB(Support up to 32 64 128 256GB ,TF card not included)",83.99
4336,Samsung Galaxy A10E SM-A102U 32GB 4G LTE Android Unlocked Smartphone -Excellent-,375073569623,2 GB,Octa Core,Samsung Galaxy A10e,Samsung,5.8 in,"2G, 3G, 4G, Bluetooth, LTE, Wi-Fi",Android,8.0 MP,32 GB,70.30
4337,New ListingBanana Phone Bluetooth Handset for iPhone and Android Mobile Devices,285575618265,,,*,Banana phone,,"Bluetooth, USB",Android,,*,14.99
4338,Nokia 7510a - Red and Silver ( T-Mobile ) Very Rare Cellular Flip Phone,325708061953,,,7510a-b,Nokia,,,,,NA,46.74
4339,"HTC Desire HD Smartphone PD98100 Black (Untested) 4.3"" Android 3G Mobile Phone",354823104322,no,Single Core,HTC Desire HD,HTC,4.3 in,"3G, Bluetooth, GPS, Micro USB, Wi-Fi",Android,8.0 MP,1.5 GB,26.50
4340,Apple iPhone 5s A1533- 16GB- Space Gray (T-Mobile)- tested- clean esn,266014565358,,Dual Core,Apple iPhone 5s,Apple,4 in,"Bluetooth, Wi-Fi",iOS,8.0 MP,16 GB,40.00
4341,Samsung Galaxy S21 Plus 5G SM-G996U 128GB GSM T-Mobile Only Black -A,186091491015,8 GB,Octa Core,Samsung Galaxy S21+ 5G,Samsung,6.7 in,"2G, 3G, 4G, 5G",Android,64.0 MP,128 GB,348.08
4342,Apple iPhone XR 64GB 4G LTE (Factory Unlocked) Spectrum AT&T Verizon Good,115286101505,2 GB,,iPhone XR,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,"64GB, 128GB, 256GB",160.00 to 251.00
4343,"Samsung Galaxy A13 5G SM-A136U Cellphone (Black 64GB) T-Mobile, BAD BOARD",166451819386,,,Galaxy A13 5G,Samsung,,,,,64GB,39.04
4344,T-Mobile REVVL 6 5G - 64GB - Blue (T-Mobile) (Single SIM),176003903803,4 GB,Octa Core,T-Mobile REVVL 6 5G,T-Mobile,6.5 in,"USB Type-C, 5G, Bluetooth, Wi-Fi",Android,"13.0 MP, 2.0 MP",64 GB,110.00
4345,Samsung SGH-T409 - Blue and Silver  T-Mobile Flip Phone For Parts Or Repair,204361712295,,,T409,Samsung,,,Android,,NA,11.25
4346,"Samsung Galaxy A20 6.4"" A205U 32GB ""Boost Mobile ONLY"" phone Smartphone - Good",165531931566,3 GB,,Samsung Galaxy A20,Samsung,6.4 in,4G,Android,,32 GB,89.95
4347,Kyocera Hydro C5170 - 2GB - Black (Boost Mobile) Pre-Paid Smartphone ONLY,361226133402,See Details,See Details,Kyocera Hydro C5170,Kyocera,,,N/A,,2GB,14.08
4348,Apple iPhone 8 64GB (AT&T) Unlocked A1905 GSM Space Gray in Mint Condition ,114995862260,2 GB,Hexa Core,Apple iPhone 8,Apple,4.7 in,"2G, 3G, 4G, 5G, Bluetooth, GPS, LTE, NFC, Wi-Fi",iOS,12.0 MP,Various,93.00 to 151.00
4349,RugGear RG720 TD-LTE Digital Mobile Phone Lot of 18 Make Offers!,115650585458,,,720,Unbranded,,,,,0.1,"1,890.00"
4350,Apple iPhone 8 64GB 128GB 256GB Unlocked Verizon CDMA/GSM LTE WIFI 4G,115848133710,2 GB,Hexa Core,Apple iPhone 8,Apple,4.7 in,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,Various,94.00 to 177.00
4351,Motorola I series i855 - Black ( Boost Mobile ) Rare iDEN PTT Cellular Phone,325607460086,,,Motorola i855,Motorola,,,,,NA,55.24
4352,Kyocera Kona S2151 Black Virgin Mobile Cellular Flip Phone Working ,165801659514,,,Kyocera Kona,Kyocera,2.4 in,2G,,,Unknown,9.00
4354,ALCATEL ONETOUCH Evolve 2 4037T - 4GB - Black (T-Mobile) Smartphone - AS IS,233988372261,512MB,Dual Core,Alcatel One Touch Fierce,Alcatel,4 in,"Bluetooth, GPS, Micro USB",Android,5.0 MP,4 GB,8.99
4355,Motorola Mobile Phone ,173842777543,,,,Motorola,,,,,,25.00
4356,Samsung Galaxy S20 G981U 5G Cell Phone Smartphone For T-Mobile only - Good,165266718537,12 GB,,Samsung Galaxy S20+ 5G,Samsung,6.2 in,5G,Android,12.0 MP,128GB,189.95
4357,"S23 Ultra 6.8"" 8GB+256GB Smartphone Android 12 Unlocked 5G LTE Mobile Phones US",155904890790,,,S23 Ultra,Unbranded,,,Android 12,,/,88.99 to 89.99
4358,Revvlry XT1952T 32GB Black T-Mobile Android 4G LTE Smartphone EXCELLENT 4344,175939456436,3 GB,Octa Core,Revvlry,Motorola,5.7 in,"3G, 4G, 4G+, Bluetooth, GPS, LTE",Android,13.0 MP,32 GB,44.95
4359,Apple iPhone 11 64GB T-Mobile Smartphone (Red) - Good - C,134568770121,4 GB,Hexa Core,Apple iPhone 11,Apple,6.1 in,"3G, 4G, Bluetooth, GPS",iOS,12.0 MP,64 GB,214.99
4361,Samsung Galaxy Z Flip 3 5g SM-F711U 256GB Phantom Black T-Mobile ULK (s00466),256286449935,,,Galaxy Z Flip 3 5G,Samsung,,,Android13,,256GB,227.59
4362,Samsung Galaxy Note 3 SM-N900 32GB Unlocked 4G Smartphone AT&T T-Mobile Verizon,255605892159,3 GB,Quad Core,Samsung Note 3 N9005,Samsung,5.7 in,"2G, 3G, 4G, Bluetooth, GPS, Micro USB, Wi-Fi",Android,13.0 MP,32 GB,55.00 to 59.75
4363,Samsung Gravity TXT SGH-T379 - Emerald Gray ( T-Mobile ) Rare Slider Phone,325314361826,,,Gravity TXT,Samsung,2.4 in,Micro USB,,2.0 MP,115 MB,42.49
4364,"Motorola Moto G 5G (2022), T-Mobile Only | Gray, 64GB, 6.5 in | Grade A | XT2213",134778329876,4 GB,Octa Core,Motorola Moto G 5G,Motorola,6.5 in,"2G, 3G, 4G, 4G+, 5G, Bluetooth, DLNA, Dual-Band, GPRS, GPS, Infrared, USB Type-C, NFC, Tri-Band, USB, Wi-Fi",Android,50.0 MP,64 GB,104.99
4365,Samsung Galaxy S7 Edge SM-G935 AT&T T-MOBILE Verizon 32GB Unlocked Smartphone A+,125341135859,,,Samsung Galaxy S7 edge,Samsung,,"2G, 3G, 4G, Bluetooth, GPS, Micro USB, Wi-Fi",,,32GB,109.15
4366,Apple iPhone XS 64GB Factory Unlocked AT&T Verizon T-Mobile - Very Good,276151257175,2 GB,,,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,64GB 256GB,163.00 to 288.00
4367,Apple iPhone 8 Plus 64GB Unlocked Verizon T-Mobile At&t IOS WIFI LTE 4G,276151168363,2 GB,,,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,"64GB , 256GB",140.00 to 179.00
4368,Telcel I Mobil IM19 128 MB Black Keyboard 0.08 MPX and 64MB and 128M  - 1.77'',404287870552,,,iM19,I Mobil,,,,0.08MP,64 MB,59.99
4370,Original Motorola V220 Flip Mobile Phone Unlocked Flip Phone,334805871632,,,Motorola V220,Motorola,,"2G, GPRS",,0.3 MP,1.8MB,55.00
4371,Nokia 230 Cell Phone Black (Unlocked) Dual-Sim 2G Classic Button Mobile Phone,403992561593,,,Nokia 230,Nokia,,,,,16 MB,44.00 to 55.00
4372,"Samsung Galaxy A11 (32GB, 2GB) Triple Camera 6.4"" Smartphone, Black (T-Mobile)",266463031185,2 GB,Octa Core,Samsung Galaxy A11,Samsung,6.4 in,"4G, LTE, Bluetooth, GPS",Android,13.0 MP,32 GB,84.99
4373,Samsung Galaxy S8 Active SM-G892 64GB Gray GSM Unlocked AT&T T-Mobile Good B++,255793905581,4 GB,Octa Core,Samsung Galaxy S8 Active,Samsung,5.8 in,"USB Type-C, Bluetooth, Wi-Fi, ANT+, NFC",Android,12.0 MP,64 GB,114.62
4374,LG Stylo 3 Plus 32GB TP450 Gray (T-Mobile/Unlocked) Read Details,204542343071,2 GB,Octa Core,LG Stylo 3 Plus,LG,5.7 in,"3G, 4G, Bluetooth",Android,13.0 MP,32 GB,31.06
4375,Apple iPhone 4s - 8GB - Black (Unlocked) A1387 (CDMA + GSM) Vintage Mobile,256218451008,,Dual Core,Apple iPhone 4s,Apple,3.5 in,"Bluetooth, Wi-Fi",,8.0 MP,8 GB,25.81
4376,ZTE Warp N860 - 4GB - Black (Boost Mobile) Touchscreen CDMA 4GB Smartphone ,321811897670,4GB,,Warp N860,ZTE,,,Android,,4 GB,45.08
4377,Apple iPhone X - 256GB - Factory Unlocked AT&T Verizon T-Mobile Good Condition,314051890279,3 GB,Hexa Core,Apple iPhone X,Apple,5.8 in,"Bluetooth, Lightning, LTE, NFC, Wi-Fi",iOS,12.0MP,256 GB,250.00
4378,READ 1ST Motorola Cham Brown MB502 (T-Mobile) Fast Shipping MINT Test Phone KK,164842183910,,,Motorola CHARM,Motorola,,,,,20 MB,28.88
4379,Unlocked Super-thin Big Buttons Flashlight Mobile Phone Outdoor Loud Sound 2G,285430948053,32 MB,,Super-thin Phone,Unbranded,2.4 in,"2G, Bluetooth",,0.08MP,32 MB,28.49
4380,Kyocera Jax R727A Black Cell Mobile Phone Untested,256078133522,Does Not Apply,Unknown,Jax R727a,Kyocera,1x1.38 in,Unknown,Does Not Apply,Does Not Apply,not applicable,10.00
4381,ZTE Reef N810 Smartphone (TotalCall) - 4 GB Black - READ #406,203860455520,,,ZTE Reef,ZTE,,,,,4 GB,14.99
4382,Motorola i290 - Black and Gray ( Boost Mobile ) Rare PTT iDEN Cellular Phone,325230064117,,,Motorola i290,Motorola,,,,,NA,16.99
4383,Samsung Galaxy Z Fold 3 5g SM-F926U 256GB Phantom Black T-Mobile ULK (s00835),285540661405,,,Galaxy Z Fold 3 5G,Samsung,,,Android12,,256GB,424.27
4384,ZTE Warp Elite - 16GB - Black (Boost Mobile) Smartphone,155454352880,,Quad Core,ZTE Warp Elite,ZTE,5.5 in,"Bluetooth, Wi-Fi",,13.0 MP,16 GB,4.99
4385,Apple iPhone 8 - 64GB - Gold (Boost Mobile) A1863 (CDMA + GSM),362884522889,,Hexa Core,Apple iPhone 8,Apple,4.7 in,"Bluetooth, Wi-Fi, NFC",iOS,12.0 MP,64 GB,250.00
4386,Samsung Galaxy Note 9 SM-N960U T-Mobile Unlocked 128GB Blue Good Medium Burn,175943297783,6 GB RAM,,Galaxy Note 9,Samsung,,,,,128GB,229.99
4387,Samsung SGH-A847 RUGBY 2 Cell flip Phone AT&T 3G GSM Camera RUGGED Mobile ii,195962296850,,,SGH-A847,Samsung,,,,,NA,49.99
4388,LG K22 - 32GB - Titan (Boost Mobile) (Dual SIM),166430405426,2 GB,Quad Core,LG K22,LG,6.2 in,"Bluetooth, 4G, Wi-Fi, Micro USB",Android,"13.0 MP, 2.0 MP",32 GB,109.99
4389,Samsung Galaxy S4 (SGH-M919) White 16GB (T-Mobile) Smartphone Check IMEI? Q4841,145189194707,,Quad Core,Samsung Galaxy S4,Samsung,5 in,"Bluetooth, Wi-Fi, Micro USB",Android,13.0 MP,16 GB,39.99
4390,"ZTE V768 Concord T-Mobile Smartphone, WiFi, Camera 2012-2013?",266316320916,,,ZTE Concord,ZTE,,Wi-Fi,,,512 MB,22.99
4391,Galaxy J3 Prime 16GB Black J327T T-Mobile/Read Description Battery Not Included,404555825005,,,Samsung Galaxy J3 Prime,Samsung,,"3G, 4G, Bluetooth, Wi-Fi",Android,,16 GB,25.00
4392,Samsung Galaxy Note 10+ 5G SM-N976U T-Mobile Unlocked 256GB Aura Glow C,186090659631,,,Galaxy Note 10+ 5G,Samsung,,,,,256GB,229.99
4393,New ListingGoogle Pixel 6 Pro Unlocked AT&T T-Mobile Verizon Unlockable Bootloader 7567302,375079822823,12 GB,Octa Core,Google Pixel 6 Pro,Google,6.7 in,"USB Type-C, 5G, Bluetooth, Wi-Fi, NFC, GPS",Android,"12.0 MP, 50.0 MP, 48.0 MP",256 GB,315.00
4394,AU TORQUE X01 KYF33 SSA SIKVER mobile flip phone smartphone KYOCERA Japan,265477804733,,,AU TORQUE X01 KYF33 SSA SIKVER,Kyocera,,,,,unknown,493.05
4395,Apple iPhone 6 64GB Space Gray CDMA/GSM Unlocked Verizon T-Mobile AT&T Metro A++,234770484528,1GB,Dual Core,Apple iPhone 6,Apple,"4 in in in in in in in in in in in in in in in in in in In.7""","Bluetooth, Wi-Fi, NFC",iOS,8.0 MP,64 GB,91.48
4396,Samsung Galaxy Z Flip3 5g SM-F711U 128GB Phantom Black T-Mobile ULK  (z04810),266458496778,,,Galaxy Z Flip3 5G,Samsung,,,Android13,,128GB,198.10
4397,Kyocera Hydro Life (C6530) 8GB - Black - T-Mobile -  Read Description,144765860745,,,Kyocera Hydro Life,Kyocera,,,Android,,8 GB,23.70
4399,Samsung SGH-M620.Voda.GSM.Slider Phone.Fast Shipping.,254579516785,,,,Samsung,,,Android,,,79.50
4400,Original Unlocked Nokia Lumia 735 4G Wifi NFC Windows SmartPhone,185883109492,,,Nokia Lumia 735,Nokia,"4.7""",,Windows Mobile,6.7MP,8GB,64.85
4401,Samsung Galaxy Z Flip 3 5G SM-F711U T-mobile Unlocked 128GB Green C Crease,195959433615,,,Galaxy Z Flip 3 5G,Samsung,,,,,128GB,219.99
4402, Inrico T310 Android 7.1 4G Network Radio Zello Unlocked Mobile Phone Real-ptt,394587541408,4 GB,Octa Core,T310,Inrico,2.4,4G,Android,12.0 MP,1G+8G,110.50
4403,Samsung GT E1080 - Black (Unlocked) Mobile Phone,395001511181,4Mb,Single Core,Samsung E1080,Samsung,1.5 in,"2G, Headphone Jack",Mobile,No,1 MB,14.99
4404,Samsung Galaxy S21 5G SM-G991U T-Mobile Locked 128GB Phantom Violet C,186057134496,8 GB RAM,,Galaxy S21 5G,Samsung,,,,,128GB,199.99
4405,Samsung SGH-T329 - Black and Silver ( T-Mobile ) Cellular Flip Phone,324500965461,,,T329,Samsung,,,,,NA,4.24
4406,Lot of 2- LG Stylo 6 LMQ730TMW 64GB White T-Mobile - NO POWER - FOR PARTS - Read,305104129675,3 GB,Octa Core,LG Stylo 6,LG,6.8 in,"USB Type-C, Bluetooth, 4G, Wi-Fi",Android,"5.0 MP, 13.0 MP",64 GB,89.79
4407,Samsung Galaxy Z Flip3 5g - SM-F711U - 128GB - Lavender T-Mobile - UL (a10816),266470703518,,,Galaxy Z Flip3 5G,Samsung,,,Android13,,128GB,202.12
4408,Motorola Moto E6(XT2005-3)16GB-Blue (GSM Locked)T-Mobile Android -Excellent,175653104670,2 GB,Octa Core,Motorola Moto E6,Motorola,5.5 in,"2G, 3G",Android,13.0 MP,16 GB,43.35
4409,Nokia 8210 Mobile Phone Unlocked GSM900/1800MHz cheap cellphone +1 Year WARRANTY,134537862694,1 GB,Single Core,Nokia 8210,Nokia,2.4 in,2G,Symbian,Not Applicable,12 MB,18.96
4410,"New ListingSealed in Box Apple iPhone 8 Plus 64/256GB (Unlocked) A1864 AT&T , T-mobile",404640566942,3 GB,Hexa Core,Apple iPhone 8 Plus,Apple,5.5 in,"3G, 4G, Bluetooth, GPRS, GPS, Lightning, LTE, WAP, Wi-Fi",iOS,12.0 MP,,338.66 to 388.66
4412,NOKIA 500 Unlocked Mobile Phone,284978428185,,,Nokia 500,Nokia,3.2 in,,,,2 GB,18.99
4413,Apple iPhone XR - 64GB - Black (T-Mobile) A1984 (CDMA + GSM),284760895772,3 GB,Hexa Core,Apple iPhone XR,Apple,6.1 in,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",iOS,12.0 MP,64 GB,200.00
4415,Motorola E series E816 - Black ( Amp'd Mobile ) Very Rare Flip Phone,325736302778,,,E816,Motorola,,,,,NA,7.64
4416,Sharp GX10 Cell Phone Silver (Unlocked) Vintage Classic Button 2G Mobile Phone,225814084149,no,Single Core,Sharp GX10,Sharp,120x160 pixels,2G,Feature Phone,0.1 MP,no,21.78
4417,Motorola virgin mobile used phone needs battery ,294815463431,4 GB,Octa Core,Motorola Moto G7,Motorola,6.2 in,"USB Type-C, Bluetooth, 4G, Wi-Fi, GPS",Android,5.0 MP,64 GB,75.45
4418,Original Unlocked Nokia 2322 2322c single card mobile phone,354759314692,,,2322,Nokia,1.77 in,,NO,NO,10 MB,18.00
4419,UNLOCKED Samsung Galaxy S7 SM-G930-32GB -T-Mobile/AT&T/Verizon/Sprint BLACK GOLD,293250879702,4GB,Qualcomm® Snapdrago™ 820 Processor,Samsung Galaxy S7,Samsung,"5.1""","3G, 4G, Bluetooth, GPRS, GPS",Android,12.0MP,32GB,300.99
4420,LG B450 Blue (T-Mobile) 3G Cellular Flip Phone,185979593024,UNK,UNK,LG B450,LG,2.2 in,3G,Proprietary,1.0 MP,256 MB,22.39
4421,"T-Mobile REVVLRY XT1952-T Smartphone-Black UNLOCKED , A+ , New Open Box",384394870364,,Octa Core,XT1952,Motorola,5.7 in,Bluetooth,Android,13.0 MP,32 GB,90.98
4422,LG X Power LS755 - Gray and Silver ( Boost Mobile ) Android Smartphone,325694058411,,,Tribute HD,LG,,,,,NA,8.49
4423,"ZTE MAX N9520 - 8GB - Black Silver (Boost Mobile) Smart phone, Broken",194467287116,,Quad Core,ZTE Boost Max,ZTE,5.7 in,Bluetooth,Android,8.0 MP,8 GB,14.25
4424,New ListingNew in Sealed Box Apple iPhone 8 Plus 256GB Factory Unlocked Smartphone Gray,204552352854,3 GB,Hexa Core,Apple iPhone 8 Plus,Apple,5.5 in,"3G, 4G, Bluetooth, GPRS, GPS, Lightning, LTE, WAP, Wi-Fi",iOS,12.0 MP,,388.79
4425,Nokia 1100 Mobile Phone Unlocked GSM900/1800MHz cheap cellphone +1 Year WARRANTY,394462389160,,,Nokia 1100,Nokia,,2G,Dumbphone OS,None,≤512M,19.00
4426,Apple iPhone 6 64GB Silver - Excellent Condition,185840365522,1GB RAM,Dual-core 1.4 GHz Typhoon (ARM v8-based),A1586,Apple,4.7 inches - 750 x 1334 pixels,,iOS,"8.0 MP (Primary),1.0 MP (Secondary)",64GB,124.99
4427,"Motorola W377 mobile for sale Good, uses telecoms hu SIM card.",386252849552,,,other,Motorola,,,,,none,40.00
4428,Samsung Galaxy Z Flip 4 SM-F721U - 128GB - Graphite (T-Mobile) Very Good Cond!,325755426009,8 GB,Octa Core,Samsung Galaxy Z Flip4,Samsung,6.7 in,"5G, Bluetooth, Wi-Fi",Android,12.0 MP,128 GB,300.00
4429,Samsung SGH T589 (T-Mobile) pink Cell Phone,374807598571,,,SGH-T589,Samsung,,Micro USB,Android,3.0 MP,512 MB,37.99
4430,Samsung Galaxy A50 - 64GB - Black (T-Mobile) - C Stock - Light Burn,185786596545,4 GB,Octa Core,Samsung Galaxy A50,Samsung,6.4 in,"USB Type-C, Bluetooth, Wi-Fi, NFC",Android,25.0 MP,64 GB,84.99
4432,4G Android Smartphone Factory Unlocked Cell Phone For T-Mobile AT&T 2SIM 4Core,186096397277,2 GB,Quad Core,V40（4G）,XGODY,6 in,"2G, 3G, 4G, Bluetooth, Dual-Band, GPS, WAP, Wi-Fi",Android,5.0MP,16 GB (TF Card Up to 256GB),64.45
4433,T-Mobile REVVL 4+ Plus 5062W 64GB Gray T-Mobile Unlocked 4G LTE Smartphone 3401,175770151569,4 GB,Octa Core,Revvl 4 Plus,T-Mobile,6 in,"4G, Bluetooth, GPS, Headphone Jack, LTE, USB Type-C, Wi-Fi",Android,16.0 MP,64 GB,69.25
4434,Motorola Moto G 5G 64GB Gray XT2213-3 (T-Mobile) Android Smartphone VG4427,305041257745,4 GB,Octa Core,Motorola Moto G 5G,Motorola,6.5 in,"Bluetooth, Infrared, Wi-Fi, NFC, GPRS, GPS, USB Type-C, 5G, 4G, 3G, 2G, Tri-Band, 4G+, DLNA, Dual-Band",Android,50.0 MP,64 GB,123.15
4437,Apple iPhone XR - 64GB - Coral (T-Mobile) A1984 (CDMA + GSM),313560490716,3GB,Hexa Core,Apple iPhone XR,Apple,6.1 in,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",iOS,12.0 MP,64 GB,375.00
4438,Apple iPhone 8 Factory Fully Unlocked / Verizon T-Mobile AT&T - 64GB 256GB,363857925065,2 GB,A11,Apple iPhone 8,Apple,4.7 in,4G,iOS,12.0 MP,64 GB,113.96
4439,Samsung Galaxy S20+ 5G SM-G986U T-Mobile Unlocked 128GB Cloud Blue C Medium Burn,195993612877,,,Galaxy S20+ 5G,Samsung,,,,,128GB,199.90
4440,Nokia 1616-2 RH-125 Vintage Rare Phone Sim 2G GSM Mobile Black/Blue SIM CARD,185595600686,2 GB,Single Core,Nokia 101,Nokia,1.8,2G,Android,NONE,16 MB,49.99
4442,Samsung Gravity Q SGH-T289 - Brown (T-Mobile) Cellular Phone,225781157855,,,,Samsung,,,Android,2.0 MP,256 MB,39.99
4443,LG Stylo 3 LS777 - 16GB - Black (Virgin Mobile) Android Smartphone,283876109590,2 GB,Octa Core,Stylo 3,LG,5.7 in,"Bluetooth, 4G, Wi-Fi, GPS, DLNA, LTE",Android,13.0MP,16 GB,48.99
4444,vintage apple mobile iphone 1st gen A1203 16gb,234789244605,,,a1203,Apple,,,,,16 GB,180.00
4445,"Apple iPhone 6s Silver - 64GB - (Unlocked) Sprint, T-Mobile, Metro PCS",175223099486,,Dual Core,Apple iPhone 6s,Apple,4.7 in,"Bluetooth, Wi-Fi, NFC",iOS,12.0 MP,64 GB,145.00
4446,Kyocera DuraForce XD E6790 | 16 GB | Black Smartphone T-Mobile,166093546511,2 GB,Quad Core,Kyocera DuraForce,Kyocera,5.7 in,"3G, 4G, GPRS",Android,8.0 MP,16 GB,68.00
4447,Prepaid Walmart Family Mobile | Samsung Galaxy A10e | 32GB | Black | Brand New,115104204104,,,Galaxy a 10 e,Samsung,5.8 in,,Android,5.0 - 8.0,32 GB,117.50
4448,WORKS RARE VINTAGE NOKIA 5190 GSM 2G ONLY MOBILE WIRELESS CELL PHONE CELLULAR,185404406520,,,5190,Nokia,,2G,,,unknown,67.22
4449,6.6 Inch Factory Unlocked Smartphone Android Mobile Phone Dual SIM 4Core Phablet,196037654364,2GB,Quad Core,13Pro,Unbranded,6.6 in,"3G, 4G, Bluetooth, GPS, USB",Android,15.0 MP,16 GB,74.55
4450,Motorola V66 - Blue and Silver ( T-Mobile ) Rare Flip Cell Phone - READ,325340936111,,,V66,Motorola,,,,,NA,20.39
4451,Samsung Galaxy S20  5G - T-Mobile/Sprint Only - 128GB - Blue - ,155223905798,6 GB,Octa Core,Samsung Galaxy S20 5G,Samsung,6.5 in,"USB Type-C, 5G, Bluetooth, Wi-Fi, NFC",Android,12.0 MP,128 GB,285.00
4452,Samsung Galaxy S8 Active Unlocked G892 64GB AT&T T-Mobile GSM Unlocked Open box,314767563899,4 GB,Octa-core,Samsung Galaxy S8 Active,Samsung,5.8,"2G, 3G, 4G, Bluetooth, USB Type-C, Wi-Fi",Android,12.0 MP,64 GB,109.15 to 125.30
4453,Samsung Galaxy S4 SGH-M919 - 16 GB - Black (T-Mobile) Smartphone Bundle,204353649737,,Quad Core,Samsung Galaxy S4,Samsung,5 in,"Bluetooth, Wi-Fi, Micro USB",Android,13.0 MP,16 GB,49.39
4454,6.8 in Android 10 Cell Phone T-mobile 4G Unlocked Smartphone Cheap Dual SIM 2023,296018102307,2GB,Quad Core,Does not apply,Xgody,6.8 in,"2G, 3G, 4G, Bluetooth, GPRS, GPS, Lightning, LTE, Quad-Band, USB Type-C, Wi-Fi",Android,5.0MP,16 GB,71.99
4455,Samsung Galaxy Z Flip3 5g SM-F711U 128GB Phantom Black T-Mobile ULK  (a10133),285492764680,,,Galaxy Z Flip3 5G,Samsung,,,Android13,,128GB,136.38
4456,Apple iPhone 6 - 16GB - Gold (T-Mobile) A1549 (GSM),274661218565,1GB,Dual Core,Apple iPhone 6,Apple,"4 in In.7""","Bluetooth, Wi-Fi, NFC",iOS,8.0 MP,16 GB,450.00
4457,Nokia 1600 - Black (T-Mobile) Cellular Phone,304504575010,,,Nokia 1600,Nokia,,,,,8 MB,21.00
4458,Excellent Condition Apple iPhone 8 - 64GB - Gold (T-Mobile) A1905 (GSM),265774891757,,Hexa Core,Apple iPhone 8,Apple,4.7 in,"Bluetooth, Wi-Fi, NFC",iOS,12.0 MP,64 GB,149.99
4459,Samsung Memoir SGH-T929 - Black (T-Mobile) GSM CAMERA Cell Phone RARE Vintage!,386061238588,,,SGH T929,Samsung,,Micro USB,Android,8.0 MP,100 MB,120.00
4460,BlackBerry DTEK50 4G Mobile Phone New 5.2'' Octa-Core 13MP 3GB+16GB,404275231607,16 GB,Octa Core,BlackBerry DTEK50,BlackBerry,5.2 in,4G,Android,13.0 MP,3 GB,150.00
4461,SHARP AQUOS K SHF31 Red 8GB Android Mobile Phone Folding 3.4 inch Japan Used,354432339408,,Other,SHARP AQUOS K SHF31,Sharp,3.4 in,Other,,Other,8 GB,79.00
